"Ordre";"Anyo";"IdMaterial";"NomMaterial";"Quantitat";"Unitats"
"486";"2005";"27";"Altres residus especials";"19";"Tones"
"487";"2012";"38";"Comburents";"0";"Tones"
"488";"1990";"10";"Tèxtil";"";"Tones"
"489";"2000";"16";"Piles";"";"Tones"
"490";"2017";"41";"Porexpan";"1";"Tones"
"491";"2016";"20";"Bateries";"3";"Tones"
"492";"2011";"7";"Resta";"64594";"Tones"
"493";"2008";"29";"Càpsules de cafè";"3";"Tones"
"494";"2014";"14";"Runes";"3229";"Tones"
"495";"2011";"17";"Medicaments i cosmètics";"0";"Tones"
"496";"2005";"19";"Pneumàtics";"6";"Tones"
"497";"2006";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"";"Tones"
"498";"2016";"10";"Tèxtil";"391";"Tones"
"499";"2008";"26";"Olis minerals";"29";"Tones"
"500";"2009";"39";"Sòlids i Pastosos";"58";"Tones"
"501";"2014";"34";"Àcids";"0";"Tones"
"502";"2011";"35";"Bases";"0";"Tones"
"503";"2006";"22";"RAEE A1: Aparells de fred, frigorífics...";"55";"Tones"
"504";"2003";"23";"RAEE A4: Ordinadors, aspiradores, joguines elèctriques i electròniques....";"44";"Tones"
"505";"1985";"28";"Voluminosos";"";"Tones"
"506";"2017";"44";"Cd i DVD";"1";"Tones"
"507";"2015";"30";"Coure";"0";"Tones"
"508";"2006";"15";"Tòners";"3";"Tones"
"509";"2002";"35";"Bases";"";"Tones"
"510";"2003";"1";"Vidre";"2115";"Tones"
"511";"2012";"23";"RAEE A4: Ordinadors, aspiradores, joguines elèctriques i electròniques....";"57";"Tones"
"512";"2010";"27";"Altres residus especials";"1";"Tones"
"513";"2007";"38";"Comburents";"";"Tones"
"514";"1995";"10";"Tèxtil";"";"Tones"
"515";"1995";"16";"Piles";"";"Tones"
"516";"1999";"28";"Voluminosos";"";"Tones"
"517";"2014";"37";"Reactius de laboratori";"0";"Tones"
"518";"1986";"9";"Fracció vegetal";"";"Tones"
"519";"2012";"12";"Ferralla";"98";"Tones"
"520";"2006";"7";"Resta";"78993";"Tones"
"521";"2004";"11";"Vidre Pla";"421";"Tones"
"522";"2009";"17";"Medicaments i cosmètics";"0";"Tones"
"523";"2009";"14";"Runes";"2905";"Tones"
"524";"2010";"19";"Pneumàtics";"7";"Tones"
"525";"2001";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"";"Tones"
"526";"2015";"22";"RAEE A1: Aparells de fred, frigorífics...";"20";"Tones"
"527";"2013";"26";"Olis minerals";"10";"Tones"
"528";"1987";"28";"Voluminosos";"";"Tones"
"529";"2004";"39";"Sòlids i Pastosos";"";"Tones"
"530";"2001";"22";"RAEE A1: Aparells de fred, frigorífics...";"33";"Tones"
"531";"1991";"1";"Vidre";"560";"Tones"
"532";"2017";"9";"Fracció vegetal";"559";"Tones"
"533";"2012";"4";"Materia orgànica";"6924";"Tones"
"534";"2004";"20";"Bateries";"14";"Tones"
"535";"2001";"21";"Dissolvents";"1";"Tones"
"536";"2009";"13";"Fusta";"2423";"Tones"
"537";"2008";"40";"Medicaments";"15";"Tones"
"538";"2007";"16";"Piles";"27";"Tones"
"539";"2006";"18";"RAEE A5: làmpares fluorescents";"3";"Tones"
"540";"2010";"36";"Aerosols";"1";"Tones"
"541";"2001";"15";"Tòners";"";"Tones"
"542";"2018";"28";"Voluminosos";"4144";"Tones"
"543";"1997";"3";"Envasos";"";"Tones"
"544";"1990";"17";"Medicaments i cosmètics";"";"Tones"
"545";"2016";"25";"Olis vegetals";"33";"Tones"
"546";"2002";"38";"Comburents";"";"Tones"
"547";"1998";"9";"Fracció vegetal";"";"Tones"
"548";"2018";"20";"Bateries";"2";"Tones"
"549";"2016";"43";"Plàstic rígid";"44";"Tones"
"550";"2010";"41";"Porexpan";"9";"Tones"
"551";"2004";"14";"Runes";"1546";"Tones"
"552";"2015";"19";"Pneumàtics";"15";"Tones"
"553";"2000";"2";"Paper";"2259";"Tones"
"554";"1995";"37";"Reactius de laboratori";"";"Tones"
"555";"2018";"7";"Resta";"46530";"Tones"
"556";"2004";"25";"Olis vegetals";"7";"Tones"
"557";"2001";"26";"Olis minerals";"12";"Tones"
"558";"2013";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"22";"Tones"
"559";"2010";"1";"Vidre";"3129";"Tones"
"560";"2002";"10";"Tèxtil";"82";"Tones"
"561";"2006";"28";"Voluminosos";"3850";"Tones"
"562";"2005";"4";"Materia orgànica";"3599";"Tones"
"563";"2002";"17";"Medicaments i cosmètics";"";"Tones"
"564";"2017";"27";"Altres residus especials";"6";"Tones"
"565";"2016";"3";"Envasos";"2665";"Tones"
"566";"2018";"50";"RAEE FRA 5 (A4) Petits aparells sense dimensió superior a 50 cm";"18";"Tones"
"567";"1987";"7";"Resta";"54649";"Tones"
"568";"1988";"10";"Tèxtil";"";"Tones"
"569";"2016";"14";"Runes";"4225";"Tones"
"570";"2011";"20";"Bateries";"9";"Tones"
"571";"1985";"25";"Olis vegetals";"";"Tones"
"689";"2006";"39";"Sòlids i Pastosos";"";"Tones"
"572";"2011";"39";"Sòlids i Pastosos";"45";"Tones"
"573";"1984";"1";"Vidre";"46";"Tones"
"574";"2010";"9";"Fracció vegetal";"1040";"Tones"
"575";"2003";"19";"Pneumàtics";"";"Tones"
"576";"2003";"29";"Càpsules de cafè";"";"Tones"
"577";"2007";"37";"Reactius de laboratori";"";"Tones"
"578";"1988";"2";"Paper";"";"Tones"
"579";"1985";"3";"Envasos";"";"Tones"
"580";"2014";"10";"Tèxtil";"273";"Tones"
"581";"2011";"11";"Vidre Pla";"332";"Tones"
"582";"2008";"22";"RAEE A1: Aparells de fred, frigorífics...";"29";"Tones"
"583";"2005";"23";"RAEE A4: Ordinadors, aspiradores, joguines elèctriques i electròniques....";"118";"Tones"
"584";"2012";"34";"Àcids";"0";"Tones"
"585";"2009";"35";"Bases";"0";"Tones"
"586";"2012";"44";"Cd i DVD";"1";"Tones"
"587";"2004";"3";"Envasos";"2216";"Tones"
"588";"2008";"21";"Dissolvents";"6";"Tones"
"589";"2007";"10";"Tèxtil";"187";"Tones"
"590";"2014";"16";"Piles";"15";"Tones"
